"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1522","GET active Projects -- @1.1 ","","Fri Nov 29 07:46:14 GMT 2024","passed","Fri Nov 29 07:46:15 GMT 2024","","","",""
"","1207","POST Create new Task -- @1.1 ","","Fri Nov 29 07:46:24 GMT 2024","passed","Fri Nov 29 07:46:25 GMT 2024","","","",""
"","69","DELETE a Task - Negative Scenario","","Fri Nov 29 07:46:35 GMT 2024","passed","Fri Nov 29 07:46:35 GMT 2024","","","",""
"","42","DELETE a Project - Negative Scenario -- @1.1 ","","Fri Nov 29 07:46:21 GMT 2024","passed","Fri Nov 29 07:46:21 GMT 2024","","","",""
"","49","GET Project collaborators - Negative Scenario","","Fri Nov 29 07:46:22 GMT 2024","passed","Fri Nov 29 07:46:22 GMT 2024","","","",""
"","52","POST Create new Project - Negative Scenario -- @1.1 ","","Fri Nov 29 07:46:16 GMT 2024","passed","Fri Nov 29 07:46:16 GMT 2024","","","",""
"","3047","POST reopen Task -- @1.1 ","","Fri Nov 29 07:46:30 GMT 2024","passed","Fri Nov 29 07:46:33 GMT 2024","","","",""
"","259","POST reopen Task - Negative Scenario","","Fri Nov 29 07:46:33 GMT 2024","passed","Fri Nov 29 07:46:33 GMT 2024","","","",""
"","1669","DELETE a Task -- @1.1 ","","Fri Nov 29 07:46:33 GMT 2024","passed","Fri Nov 29 07:46:35 GMT 2024","","","",""
"","1711","GET active Tasks -- @1.1 ","","Fri Nov 29 07:46:22 GMT 2024","passed","Fri Nov 29 07:46:24 GMT 2024","","","",""
"","1465","POST update Project -- @1.1 ","","Fri Nov 29 07:46:19 GMT 2024","passed","Fri Nov 29 07:46:20 GMT 2024","","","",""
"","1158","POST Create new Project -- @1.1 ","","Fri Nov 29 07:46:15 GMT 2024","passed","Fri Nov 29 07:46:16 GMT 2024","","","",""
"","792","DELETE a Project -- @1.1 ","","Fri Nov 29 07:46:20 GMT 2024","passed","Fri Nov 29 07:46:21 GMT 2024","","","",""
"","50","GET active Task - Negative Scenario","","Fri Nov 29 07:46:27 GMT 2024","passed","Fri Nov 29 07:46:27 GMT 2024","","","",""
"","1710","GET active Task -- @1.1 ","","Fri Nov 29 07:46:25 GMT 2024","passed","Fri Nov 29 07:46:27 GMT 2024","","","",""
"","73","POST close Task - Negative Scenario","","Fri Nov 29 07:46:30 GMT 2024","passed","Fri Nov 29 07:46:30 GMT 2024","","","",""
"","2088","GET active Project -- @1.1 ","","Fri Nov 29 07:46:16 GMT 2024","passed","Fri Nov 29 07:46:19 GMT 2024","","","",""
"","47","POST update Project - Negative Scenario -- @1.1 ","","Fri Nov 29 07:46:20 GMT 2024","passed","Fri Nov 29 07:46:20 GMT 2024","","","",""
"","1211","POST close Task -- @1.1 ","","Fri Nov 29 07:46:29 GMT 2024","passed","Fri Nov 29 07:46:30 GMT 2024","","","",""
"","1776","POST update Task -- @1.1 ","","Fri Nov 29 07:46:27 GMT 2024","passed","Fri Nov 29 07:46:29 GMT 2024","","","",""
"","67","POST update Task - Negative Scenario -- @1.1 ","","Fri Nov 29 07:46:29 GMT 2024","passed","Fri Nov 29 07:46:29 GMT 2024","","","",""
"","1249","GET Project collaborators -- @1.1 ","","Fri Nov 29 07:46:21 GMT 2024","passed","Fri Nov 29 07:46:22 GMT 2024","","","",""
"","52","GET active Project - Negative Scenario","","Fri Nov 29 07:46:19 GMT 2024","passed","Fri Nov 29 07:46:19 GMT 2024","","","",""
"","60","POST Create new Task - Negative Scenario -- @1.1 ","","Fri Nov 29 07:46:25 GMT 2024","passed","Fri Nov 29 07:46:25 GMT 2024","","","",""
